N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1474.0,QV iSelect-WG 그린에너지 ESG ETN,11170.0,0.0,0.00%,0.0,11170.0,11170.0,11170.0
1475.0,TRUE 금 선물 ETN,11170.0,0.0,0.00%,0.0,11170.0,11170.0,11170.0
1476.0,에셋플러스 글로벌대장장이액티브,10880.0,160.0,-1.45%,0.0,10870.0,10880.0,10860.0
1477.0,TRUE S&P500 양매도 4% OTM ETN(H),11060.0,0.0,0.00%,0.0,11060.0,11060.0,11060.0
1478.0,TIGER 글로벌멀티에셋TIF액티브,10020.0,15.0,+0.15%,0.0,10015.0,10035.0,10000.0
1479.0,대덕1우,9080.0,80.0,+0.89%,500.0,9000.0,9080.0,8860.0
1480.0,신한 인버스 2X 미국달러 선물 ETN,5495.0,20.0,-0.36%,0.0,5595.0,5595.0,5475.0
1481.0,신한 레버리지 Russell 2000 ETN,10980.0,330.0,-2.92%,0.0,10995.0,11000.0,10980.0
1482.0,하나 인버스 2X 옥수수 선물 ETN(H),10980.0,10.0,-0.09%,0.0,10985.0,10985.0,10980.0
1483.0,일양약품우,24600.0,100.0,-0.40%,2500.0,24900.0,24900.0,24600.0
1484.0,KB 인버스 2X S&P 500 선물 ETN,10940.0,270.0,+2.53%,0.0,11015.0,11015.0,10940.0
1485.0,SOL 차이나육성산업액티브(합성),8390.0,65.0,-0.77%,0.0,8525.0,8525.0,8390.0
1486.0,대신 인버스 니켈선물 ETN(H),1910.0,5.0,+0.26%,0.0,1910.0,1920.0,1910.0
1487.0,메리츠 인버스 국채10년 ETN,10875.0,0.0,0.00%,0.0,10875.0,10875.0,10875.0
1488.0,HANARO 고배당,10335.0,55.0,-0.53%,0.0,10345.0,10345.0,10290.0
1489.0,TIGER 200 철강소재,8335.0,65.0,+0.79%,0.0,8270.0,8375.0,8270.0
1490.0,KB KRX ESG Eco ETN,10825.0,75.0,-0.69%,0.0,10880.0,10880.0,10825.0
1491.0,TRUE 인버스 2X S&P500 선물 ETN(H),2155.0,45.0,+2.13%,0.0,2170.0,2170.0,2155.0
1492.0,하나 인버스 2X 콩 선물 ETN(H),10750.0,110.0,-1.01%,0.0,10760.0,10765.0,10740.0
1493.0,KB 레버리지 나스닥 100 ETN,10720.0,255.0,-2.32%,0.0,10695.0,10745.0,10645.0
1494.0,TRUE 인버스 베트남 VN30 선물 ETN(H),10685.0,0.0,0.00%,0.0,10685.0,10685.0,10685.0
1495.0,TRUE 블룸버그 WTI원유 선물 ETN,10655.0,490.0,-4.40%,0.0,10655.0,10655.0,10645.0
1496.0,삼성 블룸버그 WTI원유 선물 ETN,10650.0,500.0,-4.48%,0.0,10625.0,10680.0,10615.0
1497.0,신한 인버스 Russell 2000 ETN,10650.0,155.0,+1.48%,0.0,10645.0,10650.0,10645.0
1498.0,KODEX Fn K-뉴딜디지털플러스,8860.0,90.0,-1.01%,0.0,8810.0,8860.0,8810.0
1499.0,넥센우,2950.0,30.0,-1.01%,500.0,2965.0,2980.0,2950.0
1500.0,KODEX 200동일가중,10615.0,0.0,0.00%,0.0,10615.0,10615.0,10615.0
1501.0,TIGER 은행,6315.0,25.0,-0.39%,0.0,6290.0,6315.0,6285.0
1502.0,파워 코스피100,24095.0,125.0,-0.52%,0.0,24005.0,24095.0,24005.0
1503.0,KB 레버리지 KRX 리츠 TOP 10 ETN,10565.0,0.0,0.00%,0.0,10565.0,10565.0,10565.0
1504.0,KBSTAR 미국고정배당우선증권ICE TR,10550.0,155.0,-1.45%,0.0,10745.0,10745.0,10550.0
1505.0,KINDEX 일본TOPIX레버리지(H),21040.0,195.0,-0.92%,0.0,20700.0,21040.0,20700.0
1506.0,KB 인버스 2X 금 선물 ETN(H),21000.0,280.0,+1.35%,0.0,21000.0,21000.0,21000.0
1507.0,성신양회우,14250.0,200.0,-1.38%,5000.0,14450.0,14450.0,14150.0
1508.0,대신 알루미늄 선물 ETN(H),10390.0,90.0,-0.86%,0.0,10360.0,10390.0,10350.0
1509.0,메리츠 인버스 2X 미국채30년 ETN(H),10375.0,0.0,0.00%,0.0,10375.0,10375.0,10375.0
1510.0,ARIRANG 고배당저변동50,10875.0,10.0,-0.09%,0.0,10875.0,10875.0,10840.0
1511.0,SOL KRX300,14750.0,35.0,-0.24%,0.0,14750.0,14750.0,14750.0
1512.0,KB S&P 유럽탄소배출권 선물 ETN(H),10325.0,680.0,-6.18%,0.0,10365.0,10365.0,10325.0
1513.0,TIGER 일본TOPIX(합성 H),16115.0,235.0,-1.44%,0.0,16225.0,16225.0,16080.0
1514.0,삼성 인버스 금 선물 ETN(H),10300.0,0.0,0.00%,0.0,10300.0,10300.0,10300.0
1515.0,대신 인버스 알루미늄 선물 ETN(H),10290.0,50.0,+0.49%,0.0,10305.0,10305.0,10290.0
1516.0,KINDEX 골드선물 레버리지(합성 H),14700.0,230.0,-1.54%,0.0,14690.0,14760.0,14690.0
1517.0,삼성 인버스 나스닥 100 ETN(H),10265.0,115.0,+1.13%,0.0,10305.0,10305.0,10260.0
1518.0,메리츠 인버스 미국채30년 ETN(H),10260.0,0.0,0.00%,0.0,10260.0,10260.0,10260.0
1519.0,삼성 KRX 리츠 TOP10 월배당 ETN,10250.0,55.0,-0.53%,0.0,10315.0,10315.0,10250.0
1520.0,SOL 한국형글로벌반도체액티브,9300.0,45.0,-0.48%,0.0,9280.0,9300.0,9265.0
1521.0,KODEX ESG종합채권(A-이상)액티브,99040.0,0.0,0.00%,0.0,99040.0,99040.0,99040.0
1522.0,KOSEF 물가채KIS,101480.0,45.0,-0.04%,0.0,101520.0,101520.0,101480.0
1523.0,삼성 FnGuide 웹 3.0 ETN,10100.0,70.0,+0.70%,0.0,10125.0,10125.0,10100.0
1524.0,삼성 인버스 2X 금 선물 ETN(H),10070.0,100.0,+1.00%,0.0,10085.0,10085.0,10065.0
1525.0,KINDEX 중국본토CSI300레버리지(합성),4190.0,10.0,-0.24%,0.0,4190.0,4190.0,4190.0
1526.0,대신 인버스 밀 선물 ETN(H),10045.0,205.0,+2.08%,0.0,10090.0,10090.0,10045.0
1527.0,메리츠 레버리지 은 선물 ETN(H),9980.0,0.0,0.00%,0.0,9980.0,9980.0,9980.0
1528.0,KODEX 미국S&P바이오(합성),24580.0,140.0,-0.57%,0.0,24455.0,24580.0,24370.0
1529.0,KODEX KTOP30,16600.0,100.0,-0.60%,0.0,16585.0,16600.0,16585.0
1530.0,KB FnGuide 언택트 ETN,9900.0,5.0,+0.05%,0.0,9955.0,9955.0,9900.0
1531.0,KOSEF 블루칩,8170.0,20.0,-0.24%,0.0,8145.0,8170.0,8125.0
1532.0,KODEX 콩선물(H),13940.0,40.0,+0.29%,0.0,14265.0,14265.0,13910.0
1533.0,QV 레버리지 은 선물 ETN(H),9735.0,240.0,-2.41%,0.0,9750.0,9750.0,9735.0
1534.0,코오롱글로벌우,31000.0,0.0,0.00%,5000.0,31000.0,31000.0,31000.0
1535.0,메리츠 미국채30년 ETN(H),9690.0,0.0,0.00%,0.0,9690.0,9690.0,9690.0
1536.0,KBSTAR KRX300,14895.0,160.0,-1.06%,0.0,14895.0,14895.0,14895.0
1537.0,ARIRANG 200선물레버리지,27600.0,280.0,-1.00%,0.0,27430.0,27600.0,27325.0
1538.0,KBSTAR 글로벌수소경제Indxx,11275.0,40.0,-0.35%,0.0,11250.0,11275.0,11250.0
1539.0,KODEX 일본TOPIX100,15945.0,95.0,+0.60%,0.0,15850.0,15945.0,15850.0
1540.0,삼성 인버스 China A50 선물 ETN(H),9530.0,0.0,0.00%,0.0,9530.0,9530.0,9530.0
1541.0,KOSEF 미국달러선물인버스,8820.0,35.0,-0.40%,0.0,8825.0,8825.0,8820.0
1542.0,DB하이텍1우,84800.0,1800.0,+2.17%,5000.0,80500.0,84900.0,80500.0
1543.0,TIGER 유로스탁스레버리지(합성 H),6800.0,115.0,-1.66%,0.0,6705.0,6825.0,6705.0
1544.0,KODEX TDF2050액티브,10555.0,85.0,-0.80%,0.0,10515.0,10600.0,10515.0
1545.0,삼성 금 선물 ETN(H),9485.0,0.0,0.00%,0.0,9485.0,9485.0,9485.0
1546.0,대신 2X 알루미늄 선물 ETN(H),9480.0,305.0,-3.12%,0.0,9405.0,9540.0,9405.0
1547.0,메리츠 금 선물 ETN(H),9465.0,0.0,0.00%,0.0,9465.0,9465.0,9465.0
1548.0,KINDEX 미국IT인터넷S&P(합성 H),11755.0,55.0,-0.47%,0.0,11720.0,11755.0,11720.0
1549.0,HANARO 탄소효율그린뉴딜,7805.0,30.0,-0.38%,0.0,7775.0,7805.0,7775.0
1550.0,TIGER 이머징마켓MSCI레버리지(합성 H),7550.0,95.0,-1.24%,0.0,7550.0,7550.0,7550.0
1551.0,TRUE 구리 선물 ETN,9310.0,0.0,0.00%,0.0,9310.0,9310.0,9310.0
1552.0,UNICORN R&D 액티브,10340.0,80.0,-0.77%,0.0,10340.0,10340.0,10340.0
1553.0,메리츠 레버리지 미국채30년 ETN(H),9295.0,0.0,0.00%,0.0,9295.0,9295.0,9295.0
1554.0,크라운제과우,12000.0,100.0,-0.83%,200.0,12100.0,12100.0,11900.0
1555.0,메리츠 국채10년 ETN,9270.0,0.0,0.00%,0.0,9270.0,9270.0,9270.0
1556.0,KBSTAR 중국MSCI China(H),8820.0,5.0,+0.06%,0.0,8820.0,8825.0,8820.0
1557.0,마이다스 KoreaStock액티브,17590.0,120.0,-0.68%,0.0,17645.0,17665.0,17565.0
1558.0,신한 인버스 2X 다우존스지수 선물 ETN(H),2305.0,35.0,+1.54%,0.0,2325.0,2325.0,2305.0
1559.0,TIGER 코스닥150바이오테크,8075.0,15.0,-0.19%,0.0,8035.0,8105.0,7985.0
1560.0,KODEX TSE일본리츠(H),13150.0,20.0,-0.15%,0.0,13155.0,13165.0,13145.0
1561.0,TIGER 미국나스닥넥스트100,10815.0,105.0,-0.96%,0.0,10815.0,10825.0,10815.0
1562.0,SOL 한국형글로벌전기차&2차전지액티브,10195.0,40.0,-0.39%,0.0,10100.0,10235.0,10090.0
1563.0,TRUE 인버스 2X HSCEI ETN(H),9170.0,325.0,+3.67%,0.0,9185.0,9185.0,9170.0
1564.0,KBSTAR 중장기국공채액티브,97560.0,255.0,-0.26%,0.0,97615.0,97615.0,97560.0
1565.0,TIGER 미국달러선물레버리지,13075.0,30.0,+0.23%,0.0,13060.0,13120.0,13060.0
1566.0,SOL 한국형글로벌플랫폼&메타버스액티브,10135.0,100.0,-0.98%,0.0,10085.0,10135.0,10085.0
1567.0,KOSEF 국고채10년레버리지,101280.0,540.0,-0.53%,0.0,102075.0,102075.0,101280.0
1568.0,KINDEX 싱가포르리츠,12975.0,70.0,-0.54%,0.0,13120.0,13120.0,12970.0
1569.0,KODEX 혁신기술테마액티브,11325.0,0.0,0.00%,0.0,11325.0,11325.0,11325.0
1570.0,대상홀딩스우,9910.0,140.0,-1.39%,1000.0,10100.0,10150.0,9910.0
1571.0,KINDEX 미국달러단기채권액티브,10035.0,5.0,+0.05%,0.0,10050.0,10055.0,10035.0
1572.0,덕성우,6480.0,70.0,-1.07%,500.0,6470.0,6630.0,6410.0
1573.0,TRUE 베트남 VN30 선물 ETN(H),9015.0,0.0,0.00%,0.0,9015.0,9015.0,9015.0
1574.0,KOSEF KRX100,4995.0,25.0,-0.50%,0.0,4970.0,4995.0,4970.0
1575.0,TRUE FnGuide IoT ETN,8965.0,105.0,+1.19%,0.0,8980.0,8980.0,8965.0
1576.0,KODEX MSCI Korea,14925.0,80.0,-0.53%,0.0,14925.0,14925.0,14925.0
1577.0,TIGER S&P글로벌인프라(합성),12790.0,185.0,-1.43%,0.0,12790.0,12790.0,12790.0
1578.0,KODEX 차이나메타버스액티브,10480.0,275.0,-2.56%,0.0,10710.0,10710.0,10070.0
1579.0,미래에셋 인버스 에너지화학 Core5 ETN,4450.0,60.0,+1.37%,0.0,4450.0,4450.0,4450.0
1580.0,메리츠 미국채10년 ETN(H),8875.0,15.0,-0.17%,0.0,8875.0,8875.0,8875.0
1581.0,메리츠 CSI 300 ETN,8875.0,0.0,0.00%,0.0,8875.0,8875.0,8875.0
1582.0,TRUE 레버리지 유로스탁스50 ETN(H) B,8830.0,120.0,-1.34%,0.0,8845.0,8845.0,8830.0
1583.0,동원시스템즈우,33400.0,0.0,0.00%,5000.0,33400.0,33400.0,33400.0
1584.0,삼성 나스닥 100 ETN(H),8820.0,100.0,-1.12%,0.0,8810.0,8820.0,8800.0
1585.0,ARIRANG KRX300,14665.0,85.0,-0.58%,0.0,14625.0,14665.0,14625.0
1586.0,KBSTAR 국채선물10년,49375.0,215.0,-0.43%,0.0,49560.0,49565.0,49375.0
1587.0,KINDEX 중장기국공채액티브,94190.0,165.0,-0.17%,0.0,94330.0,94330.0,94190.0
1588.0,KINDEX 멕시코MSCI(합성),10865.0,140.0,-1.27%,0.0,10950.0,10950.0,10865.0
1589.0,KB 레버리지 금 선물 ETN(H),17360.0,190.0,-1.08%,0.0,17360.0,17360.0,17360.0
1590.0,TREX 펀더멘탈 200,34710.0,0.0,0.00%,0.0,34710.0,34710.0,34710.0
1591.0,한양증권우,16450.0,0.0,0.00%,5000.0,16450.0,16450.0,16450.0
1592.0,HANARO Fn5G산업,11495.0,20.0,+0.17%,0.0,11495.0,11495.0,11495.0
1593.0,대신 S&P WTI원유 선물 ETN,8570.0,360.0,-4.03%,0.0,8570.0,8570.0,8570.0
1594.0,KBSTAR 글로벌농업경제MV,10655.0,145.0,-1.34%,0.0,10660.0,10660.0,10650.0
1595.0,HANARO Fn친환경에너지,9455.0,145.0,-1.51%,0.0,9540.0,9585.0,9450.0
1596.0,KINDEX 스마트밸류,12105.0,65.0,-0.53%,0.0,12065.0,12105.0,12065.0
1597.0,메리츠 레버리지 국채10년 ETN,8440.0,0.0,0.00%,0.0,8440.0,8440.0,8440.0
